"row_id";"pedido";"data_pedido";"data_envio";"tipo_envio";"id_cliente";"nome_cliente";"Segmento";"Cidade";"Estado";"pais";"regiao";"material";"Categoria";"sub_categoria";"desc_material";"Vendas";"Quantidade";"Desconto";"Lucro"
1;MX-2023-143658;"10/2/2023";"10/6/2023";Classe padrão;SR-20575;Sofia Rocha;Varejo;Cidade do México;Distrito Federal;México;Norte;MAT-ET-10001014;Material de escritório;Etiquetas;HON Etiquetas para organização de pastas, Ajustável;"130,8";3;"0";"45,6"
2;MX-2021-155047;"10/16/2021";"10/21/2021";Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MÓV-MÓ-10004592;Móveis;Móveis;Tenex Relógio de parede, Durável;"2521,6";8;"0";"907,2"
3;MX-2021-155047;"10/16/2021";"10/21/2021";Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MÓV-ES-10000849;Móveis;Estantes;Ikea Gaveteiro, Branco;"1932,8";2;"0";"540,8"
4;MX-2021-155047;"10/16/2021";"10/21/2021";Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-FI-10003284;Material de escritório;Fichários;Cardinal Pasta argolada, Transparente;"354,4";4;"0";"49,6"
5;MX-2021-155047;"10/16/2021";"10/21/2021";Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-AR-10002762;Material de escritório;Arte;Sanford Tela, Tamanhos variados;"716";2;"0";"114,4"
6;MX-2021-155047;"10/16/2021";"10/21/2021";Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-EN-10000610;Material de escritório;Envelopes;GlobeWeis Com lacre, Vermelho;"561,2";2;"0";"213,2"
7;MX-2022-134096;"9/28/2022";"10/2/2022";Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-EN-10000610;Material de escritório;Envelopes;GlobeWeis Com lacre, Vermelho;"561,2";2;"0";"213,2"
8;MX-2022-134096;"9/28/2022";"10/2/2022";Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;TEC-MÁ-10001040;Tecnologia;Máquinas;Konica Impressora de crachás, Vermelho;"3446,4";3;"0";"1654,2"
9;MX-2022-134096;"9/28/2022";"10/2/2022";Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-MA-10001660;Material de escritório;Materiais;Elite Estilete, Industrial;"973,6";4;"0";"194,4"
10;MX-2022-134096;"9/28/2022";"10/2/2022";Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;TEC-AC-10004490;Tecnologia;Acessórios;Enermax Roteador, Reciclado;"3415,2";2;"0";"136,4"
